No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,PTT ID,Opt.Signal,DTMF Code Group,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info
9,Analog CH,GMRS9,467.5875,467.5875,Low,180S,No,1,No,No,No,12.5K,D032N,D032N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
10,Analog CH,GMRS10,467.6125,467.6125,Low,180S,No,1,No,No,No,12.5K,D047N,D047N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
11,Analog CH,GMRS11,467.6375,467.6375,Low,180S,No,1,No,No,No,12.5K,D051N,D051N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
12,Analog CH,GMRS12,467.6625,467.6625,Low,180S,No,1,No,No,No,12.5K,D053N,D053N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
13,Analog CH,GMRS13,467.6875,467.6875,Low,180S,No,1,No,No,No,12.5K,D065N,D065N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
14,Analog CH,GMRS14,467.7125,467.7125,Low,180S,No,1,No,No,No,12.5K,D116N,D116N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
15,Analog CH,GMRS15,462.55,462.55,High,180S,No,1,No,No,No,25K,123,123,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
16,Analog CH,GMRS16,462.575,462.575,High,180S,No,1,Yes,No,No,25K,D743I,D743I,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
17,Analog CH,GMRS17,462.6,462.6,High,180S,No,1,No,No,No,25K,D332I,D332I,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
18,Analog CH,GMRS18,462.625,462.625,High,180S,No,1,No,No,No,25K,127.3,127.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
19,Analog CH,GMRS19,462.65,462.65,High,180S,No,1,No,No,No,25K,D243I,D243I,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
20,Analog CH,GMRS20,462.675,462.675,High,180S,No,1,No,No,No,25K,D606N,D606N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
21,Analog CH,GMRS21,462.7,462.7,High,180S,No,1,No,No,No,25K,D731I,D731I,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
22,Analog CH,GMRS22,462.725,462.725,High,180S,No,1,No,No,No,25K,136.5,136.5,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
23,Analog CH,GMRS23,462.55,467.55,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
24,Analog CH,GMRS24,462.575,467.575,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
25,Analog CH,GMRS25,462.6,467.6,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
26,Analog CH,GMRS26,462.625,467.625,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
27,Analog CH,GMRS27,462.65,467.65,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
28,Analog CH,GMRS28,462.675,467.675,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
29,Analog CH,GMRS29,462.7,467.7,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
30,Analog CH,GMRS30,462.725,467.725,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
31,Analog CH,Baldwin,462.55,467.55,High,180S,No,1,No,No,No,25K,D023N,D023N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
32,Analog CH,Newaygo,462.55,467.55,High,180S,No,1,No,No,No,25K,,,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
33,Analog CH,Grayling,462.55,467.55,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
34,Analog CH,Mayville,462.55,467.55,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
35,Analog CH,Madison Heights,462.55,467.55,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
36,Analog CH,Jackson,462.55,467.55,High,180S,No,1,No,No,No,25K,136.5,136.5,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
37,Analog CH,Barryton,462.55,467.55,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
38,Analog CH,Lansing,462.55,467.55,High,180S,No,1,No,No,No,25K,,,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
39,Analog CH,Saginaw,462.575,467.575,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
40,Analog CH,Troy,462.575,467.575,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
41,Analog CH,Mancelona,462.575,467.575,High,180S,No,1,No,No,No,25K,192.8,192.8,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
42,Analog CH,Seney,462.575,467.575,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
43,Analog CH,Lincoln,462.575,467.575,High,180S,No,1,No,No,No,25K,D243N,D243N,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
44,Analog CH,Almont,462.6,467.6,High,180S,No,1,No,No,No,25K,136.5,136.5,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
45,Analog CH,Detroit,462.6,467.6,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
46,Analog CH,Traverse City,462.6,467.6,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
47,Analog CH,Moline,462.6,467.6,High,180S,No,1,No,No,No,25K,94.8,94.8,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
48,Analog CH,Tompkins,462.6,467.6,High,180S,No,1,No,No,No,25K,123,123,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
49,Analog CH,Iron Mt.,462.6,467.6,High,180S,No,1,No,No,No,25K,123,103.5,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
50,Analog CH,Mayville,462.6,467.6,High,180S,No,1,No,No,No,25K,141.3,,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
51,Analog CH,Detroit,462.625,467.625,High,180S,No,1,No,No,No,25K,,,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
52,Analog CH,Baldwin-Pleas,462.625,467.625,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
53,Analog CH,St. Helen,462.625,467.625,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
54,Analog CH,Petoskey,462.625,467.625,High,180S,No,1,No,No,No,25K,141.3,,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
55,Analog CH,Detroit,462.625,467.625,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
56,Analog CH,Bay City,462.625,467.625,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
57,Analog CH,Eaton Rapids,462.625,467.625,High,180S,No,1,No,No,No,25K,162.2,162.2,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
58,Analog CH,Newberry,462.625,467.625,High,180S,No,1,No,No,No,25K,141.3,,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
59,Analog CH,Grand Ledge,462.625,467.625,High,180S,No,1,No,No,No,25K,100,100,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
60,Analog CH,Ferndale,462.675,467.675,High,180S,No,1,No,No,No,25K,,,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
61,Analog CH,Shelby,462.675,467.675,High,180S,No,1,No,No,No,25K,71.9,71.9,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
62,Analog CH,Mason,462.675,467.675,High,180S,No,1,No,No,No,25K,100,100,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
63,Analog CH,Mt. Clemens,462.675,467.675,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
64,Analog CH,Roscommon,462.675,467.675,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
65,Analog CH,Grayling,462.7,467.7,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
66,Analog CH,Ann Arbor,462.7,467.7,High,180S,No,1,No,No,No,25K,203.5,203.5,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
67,Analog CH,Middleville,462.7,467.7,High,180S,No,1,No,No,No,25K,146.2,146.2,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
68,Analog CH,Hesperia,462.725,467.725,High,180S,No,1,No,No,No,25K,,,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
69,Analog CH,Flint,462.725,467.725,High,180S,No,1,No,No,No,25K,141.3,141.3,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
70,Analog CH,East Jordan,462.725,467.725,High,180S,No,1,No,No,No,25K,141.3,,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
71,Analog CH,Charlotte,462.725,467.725,High,180S,No,1,No,No,No,25K,100,100,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,No,Always,None,None,&H00000000,Custom,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,OFF,None
